artist,single,released,sales (millions)
Vernon Dalhart,The Prisoner's Song,1924,6
Dawn featuring Tony Orlando,Tie a Yellow Ribbon Round the Ole Oak Tree,1973,6
Neil Diamond,Cracklin' Rosie,1970,6
The Jackson 5,I Want You Back,1969,6
Janet Jackson,Together Again,1997,6
Jerry Lee Lewis,Whole Lotta Shakin' Goin' On,1957,6
Madonna,Vogue,1990,6
George Michael,Careless Whisper,1984,6
The New Seekers,I'd Like to Teach the World to Sing (In Perfect Harmony),1971,6
Tony Orlando and Dawn,Knock Three Times,1970,6
Elvis Presley,Don't Be Cruel,1956,6
Harry Simeone Chorale,The Little Drummer Boy,1958,6
Simon & Garfunkel,Bridge over Troubled Water,1970,6
Bonnie Tyler,It's a Heartache,1977,6
Bonnie Tyler,Total Eclipse of the Heart,1983,6
Michael Jackson,Thriller,1983,5.7
Tino Rossi,Petit Papa Noël,1946,5.7
"Christina Aguilera, Lil' Kim, Mýa and Pink",Lady Marmalade,2001,5.2
Bee Gees,Stayin' Alive,1977,5.1
1910 Fruitgum Company,Simon Says,1967,5
ABBA,Waterloo,1974,5
Gene Austin,My Blue Heaven,1927,5
Gene Autry,That Silver-Haired Daddy of Mine,1935,5
The Beatles,She Loves You,1963,5
Bee Gees,Massachusetts,1967,5
Culture Club,Karma Chameleon,1983,5
Enigma,Sadeness (Part I),1990,5
George Harrison,My Sweet Lord,1970,5
Engelbert Humperdinck,Release Me,1967,5
Terry Jacks,Seasons in the Sun,1974,5
The Jackson 5,I'll Be There,1970,5
Michael Jackson,Beat It,1983,5
Tommy James and the Shondells,Crimson and Clover,1968,5
Tom Jones,Delilah,1968,5
Jerry Lee Lewis,Great Balls of Fire,1957,5
Madonna,Like a Prayer,1989,5
Ricky Martin,María,1995,5
Michael Zager Band,Let's All Chant,1977,5
Mitch Miller,March from the River Kwai,1957,5
Kylie Minogue,Can't Get You Out of My Head,2001,5
The Monkees,Daydream Believer,1967,5
Musical Youth,Pass the Dutchie,1982,5
The Partridge Family,I Think I Love You,1970,5
Elvis Presley,Are You Lonesome Tonight?,1960,5
Elvis Presley,Surrender,1961,5
Jeannie C. Riley,Harper Valley PTA,1968,5
Nini Rosso,Il Silenzio,1965,5
David Seville and the Chipmunks,The Chipmunk Song (Christmas Don't Be Late),1958,5
Staff Sergeant Barry Sadler,Ballad of the Green Berets,1966,5
Billy Swan,I Can Help,1974,5
Three Dog Night,Joy to the World,1971,5
The Tornados,Telstar,1962,5
Wiz Khalifa featuring Charlie Puth,See You Again,2015,20.9
Mark Ronson featuring Bruno Mars,Uptown Funk,2014,20
Ed Sheeran,Thinking Out Loud,2014,19.5
Carly Rae Jepsen,Call Me Maybe,2011,18
The Black Eyed Peas,I Gotta Feeling,2009,15
Kesha,TiK ToK,2009,15
Robin Thicke featuring T.I. and Pharrell,Blurred Lines,2013,14.8
Maroon 5 featuring Christina Aguilera,Moves like Jagger,2011,14.4
Adele,Rolling in the Deep,2010,14
Mariah Carey,All I Want for Christmas Is You,1994,14
Lady Gaga,Poker Face,2008,14
LMFAO featuring Lauren Bennett and GoonRock,Party Rock Anthem,2011,14
Pharrell Williams,Happy,2013,13.9
Bruno Mars,Just the Way You Are,2010,13.6
Maroon 5,Sugar,2015,13.5
Psy,Gangnam Style,2012,13.5
Macklemore and Ryan Lewis featuring Wanz,Thrift Shop,2012,13.4
Katy Perry featuring Juicy J,Dark Horse,2013,13.2
Major Lazer & DJ Snake featuring MØ,Lean On,2015,13.1
Gotye featuring Kimbra,Somebody That I Used to Know,2011,13
Eminem featuring Rihanna,Love the Way You Lie,2010,12.8
Ellie Goulding,Love Me like You Do,2015,12.6
Drake featuring WizKid and Kyla,One Dance,2016,12.5
Adele,Hello,2015,12.3
John Legend,All of Me,2013,12.3
Jason Mraz,I'm Yours,2008,12.2
Flo Rida featuring Kesha,Right Round,2009,12
Flo Rida featuring T-Pain,Low,2007,12
Lady Gaga,Bad Romance,2009,15
Justin Bieber,Love Yourself,2016,11.7
The Chainsmokers feat. Halsey,Closer,2016,11.7
Avicii featuring Aloe Blacc,Wake Me Up,2013,11.1
Sia feat. Sean Paul,Cheap Thrills,2016,11.1
Katy Perry,Firework,2010,11
Meghan Trainor,All About That Bass,2014,11
Idina Menzel,Let It Go,2014,10.9
Justin Bieber,Sorry,2016,10.8
The Black Eyed Peas,Boom Boom Pow,2009,10.8
Bruno Mars,Grenade,2010,10.6
Rihanna featuring Drake,Work,2016,10.6
Rihanna featuring Calvin Harris,We Found Love,2011,10.5
Lukas Graham,7 Years,2015,10.4
The Chainsmokers featuring Daya,Don't Let Me Down,2016,10.2
Lady Gaga featuring Colby O'Donis,Just Dance,2008,14
Lorde,Royals,2013,10
Katy Perry,Roar,2013,10
Mike Posner,I Took a Pill in Ibiza,2015,10
Rihanna featuring Mikky Ekko,Stay,2013,10
Shakira featuring Wyclef Jean,Hips Don't Lie,2006,10
Shakira featuring Freshlyground,Waka Waka (This Time for Africa),2010,10
Katy Perry featuring Snoop Dogg,California Gurls,2010,10
Alexandra Stan,Mr. Saxobeat,2010,10
Adele,Someone like You,2011,9.9
Pink featuring Nate Ruess,Just Give Me a Reason,2013,9.9
Twenty One Pilots,Stressed Out,2015,9.9
Eminem,Lose Yourself,2002,9.7
fun. featuring Janelle Monáe,We Are Young,2011,9.6
Pitbull featuring Kesha,Timber,2013,9.6
Justin Timberlake,SexyBack,2006,9.5
Maroon 5 featuring Wiz Khalifa,Payphone,2012,9.5
Daft Punk featuring Pharrell Williams,Get Lucky,2013,9.3
Taylor Swift,Blank Space,2014,9.2
Iggy Azalea featuring Charli XCX,Fancy,2014,9.1
Lil Wayne featuring Static Major,Lollipop,2008,9.1
Ariana Grande featuring Iggy Azalea,Problem,2014,9
Lady Gaga,Born This Way,2011,9
Madonna,Hung Up,2005,9
Bruno Mars,When I Was Your Man,2013,8.9
Journey,Don't Stop Believin',1981,8.8
Thelma Aoyama,Soba ni Iru ne,2008,8.7
Imagine Dragons,Radioactive,2012,8.6
Magic!,Rude,2013,8.6
Jennifer Lopez featuring Pitbull,On the Floor,2011,8.4
OMI,Cheerleader,2012,8.3
Taio Cruz,Dynamite,2010,8.3
"Pitbull featuring Ne-Yo, Afrojack, and Nayer",Give Me Everything,2011,8.2
Jason Derulo,Want to Want Me,2015,8.1
will.i.am featuring Britney Spears,Scream & Shout,2012,8.1
Katy Perry,I Kissed a Girl,2008,8
Miley Cyrus,Wrecking Ball,2013,8
Miley Cyrus,We Can't Stop,2013,8
"Enrique Iglesias featuring Sean Paul, Descemer Bueno and Gente de Zona",Bailando,2014,8
Rihanna featuring Jay Z,Umbrella,2007,8
Utada Hikaru,Flavor of Life,2007,8
Beyoncé,Single Ladies (Put a Ring on It),2008,7.7
Leona Lewis,Bleeding Love,2008,7.7
Katy Perry,Hot n Cold,2008,7.7
Greeeen,Kiseki,2008,7.6
Rihanna,Diamonds,2012,7.5
Lady Gaga featuring Beyoncé,Telephone,2010,7.9
LMFAO,Sexy and I Know It,2011,7.4
Bruno Mars,Locked Out of Heaven,2012,7.4
Timbaland featuring OneRepublic,Apologize,2007,7.4
The Black Eyed Peas,The Time (Dirty Bit),2010,7.3
Avril Lavigne,Girlfriend,2007,7.3
Nicki Minaj,Starships,2012,7.2
Michel Teló,Ai Se Eu Te Pego,2011,7.2
Coldplay,Viva la Vida,2008,7.1
One Direction,What Makes You Beautiful,2011,7.1
Florida Georgia Line,Cruise,2012,7.01
Exile,Lovers Again,2007,7
Hilcrhyme,Shunkashūtō,2009,7
Justin Timberlake,Can't Stop the Feeling!,2016,6.91
Maroon 5,One More Night,2012,6.9
Usher featuring will.i.am,OMG,2010,6.9
Lady Antebellum,Need You Now,2009,6.9
Beyoncé,Irreplaceable,2006,6.7
Flo Rida,Whistle,2012,6.6
Taylor Swift,I Knew You Were Trouble,2012,6.6
Train,"Hey, Soul Sister",2009,6.6
Busker Busker,Cherry Blossom Ending,2012,6.56
Jay Sean featuring Lil Wayne,Down,2009,6.555
Flo Rida featuring Sia,Wild Ones,2012,6.5
Bruno Mars,The Lazy Song,2011,6.5
Katy Perry featuring Kanye West,E.T.,2011,6.5
Shōnan no Kaze,Junrenka,2006,6.5
Taylor Swift,Love Story,2008,6.5
Justin Bieber featuring Ludacris,Baby,2010,6.4
Foster the People,Pumped Up Kicks,2010,6.4
CeeLo Green,Fuck You,2010,6.4
Rihanna,Only Girl (In the World),2010,6.32
Nicki Minaj,Super Bass,2011,6.3
T.I.,Whatever You Like,2008,6.3
Flo Rida,Good Feeling,2011,6.2
Taylor Swift,We Are Never Ever Getting Back Together,2012,6.2
Bruno Mars,Treasure,2013,6.2
Big Bang,Fantastic Baby,2012,6.25
Paramore,crushcrushcrush,2007,6.1
A Great Big World and Christina Aguilera,Say Something,2013,6
IU,You and I,2011,6.07
Beyoncé,Halo,2009,6
Clean Bandit featuring Jess Glynne,Rather Be,2014,6
David Guetta featuring Sia,Titanium,2012,6
Kimura Kaela,Butterfly,2009,6
The Pussycat Dolls featuring Busta Rhymes,Don't Cha,2005,6
Adele,Set Fire to the Rain,2011,5.9
Katy Perry,Teenage Dream,2010,5.9
Rihanna,S&M,2011,5.9
T-Pain,Buy U a Drank (Shawty Snappin'),2007,5.9
Miley Cyrus,Party in the U.S.A.,2009,5.8
Eminem,Not Afraid,2010,5.8
fun.,Some Nights,2012,5.8
Macklemore and Ryan Lewis featuring Ray Dalton,Can't Hold Us,2011,5.8
Akon,Don't Matter,2007,5.7
Jay Z featuring Alicia Keys,Empire State of Mind,2009,5.7
Owl City,Fireflies,2009,5.7
Soulja Boy Tell'em featuring Sammie,Kiss Me thru the Phone,2007,5.7
T.I. featuring Rihanna,Live Your Life,2008,5.7
Alicia Keys,No One,2007,5.6
Usher featuring Young Jeezy,Love in This Club,2008,5.6
Rihanna,Disturbia,2008,5.52
Chris Brown,With You,2007,5.5
Eminem featuring Rihanna,The Monster,2013,5.5
David Guetta and Kelly Rowland,When Love Takes Over,2009,5.5
David Guetta featuring Akon,Sexy Bitch,2009,5.5
Britney Spears,Circus,2008,5.5
Swedish House Mafia featuring John Martin,Don't You Worry Child,2012,5.5
Kanye West,Heartless,2008,5.5
Phillip Phillips,Home,2012,5.4
Kings of Leon,Use Somebody,2008,5.3
Shop Boyz,Party Like a Rockstar,2007,5.2
Soulja Boy Tell 'Em,Crank That (Soulja Boy),2007,5.2
Rihanna,Take a Bow,2008,5.14
Fergie,Big Girls Don't Cry,2007,5.1
Taylor Swift,You Belong with Me,2009,5.1
Kanye West,Stronger,2007,5.07
Adele,Skyfall,2012,5
Ai,Story,2005,5
"Ashida Mana & Suzuki Fuku as Kaoru to Tomoki, Tamani Mook",Maru Maru Mori Mori!,2011,5
Avicii,Levels,2012,5
Kelly Clarkson,Stronger (What Doesn't Kill You),2012,5
Greeeen,Haruka,2009,5
Green Day,Boulevard of Broken Dreams,2004,5
Enrique Iglesias featuring Pitbull,I Like It,2010,5
Michael Learns to Rock,Take Me to Your Heart,2006,5
Katy Perry,Last Friday Night (T.G.I.F.),2011,5
Pink,Raise Your Glass,2010,5
Shakira featuring Dizzee Rascal,Loca,2010,5
Shakira featuring Alejandro Sanz,La Tortura,2005,5
Justin Timberlake,Mirrors,2013,5
